
 Episode : 64 | Reward -> 1519.713985794081 | Max reward : 2174.2847479198845 | Time : 3.737854480743408'
 Episode : 66 | Reward -> 1382.0999502765685 | Max reward : 2316.4726070015263 | Time : 2.508922576904297'
 Episode : 68 | Reward -> 1421.1935517698962 | Max reward : 2337.381640363925 | Time : 3.7229483127593994'
 Episode : 70 | Reward -> 2226.4186965007734 | Max reward : 2290.1249076647464 | Time : 3.5930116176605225'
 Episode : 72 | Reward -> 854.5357517151472 | Max reward : 921.177404107914 | Time : 4.3050642013549805'
 Episode : 74 | Reward -> 691.266547662286 | Max reward : 892.0131344169353 | Time : 3.0120737552642822'
 Episode : 76 | Reward -> 616.9025975777726 | Max reward : 804.4677430032445 | Time : 4.3445587158203125'
 Episode : 78 | Reward -> 1926.4837454210779 | Max reward : 2958.5955909504346 | Time : 4.387463808059692'
 Episode : 80 | Reward -> 2448.109796907429 | Max reward : 2490.7022046540537 | Time : 3.8226637840270996'
 Episode : 82 | Reward -> 403.61370970374946 | Max reward : 460.5512801310279 | Time : 4.416344165802002'
 Episode : 84 | Reward -> 1749.7575403622047 | Max reward : 2585.4141767879964 | Time : 3.8854916095733643'
 Episode : 86 | Reward -> 1591.258554776815 | Max reward : 2353.7061834594397 | Time : 3.8829331398010254'
 Episode : 88 | Reward -> 1381.8146640712725 | Max reward : 1953.3426358519719 | Time : 3.553677797317505'
 Episode : 90 | Reward -> 2432.9295164691503 | Max reward : 2713.9732658367852 | Time : 3.7878875732421875'
 Episode : 92 | Reward -> 1601.6811830269125 | Max reward : 2276.2630491204764 | Time : 3.753176689147949'
 Episode : 94 | Reward -> 2424.7062545098233 | Max reward : 2709.9093900678577 | Time : 3.7754740715026855'
 Episode : 96 | Reward -> 2530.8159068597106 | Max reward : 2589.4752075301676 | Time : 4.042298316955566'
 Episode : 98 | Reward -> 2831.8695123241196 | Max reward : 2955.4213108622907 | Time : 3.8032829761505127'
 Episode : 100 | Reward -> 1887.7197880212511 | Max reward : 2957.962396881991 | Time : 4.308734893798828'
 
 Episode : 2 | Reward -> 856.3124247841051 | Max reward : 970.4872537217822 | Time : 2.49946928024292'
 Episode : 4 | Reward -> 296.62653831425666 | Max reward : 325.572567399919 | Time : 2.4556546211242676'
 Episode : 6 | Reward -> 1223.5893334696107 | Max reward : 1571.6460013806643 | Time : 3.6037893295288086'
 Episode : 8 | Reward -> 705.5412963779801 | Max reward : 874.2238781150643 | Time : 4.507316589355469'
 Episode : 10 | Reward -> 987.0094591938516 | Max reward : 1029.0914089848925 | Time : 2.4853994846343994'
 Episode : 12 | Reward -> 1057.5009512811196 | Max reward : 1061.8774582506082 | Time : 2.478539228439331'

 Reset (-3000,3000) speed_inc=70 bins=30
 Episode : 2 | Reward -> 368.29189799085475 | Max reward : 461.5821862543852 | Time : 2.5016238689422607'
 Episode : 4 | Reward -> 918.8714294617643 | Max reward : 932.0416831048642 | Time : 2.473752021789551'
 Episode : 6 | Reward -> 1231.8516704958747 | Max reward : 1550.522093925459 | Time : 2.479233980178833'
 Episode : 8 | Reward -> 994.420814788272 | Max reward : 1061.280045294253 | Time : 2.477147340774536'
 Episode : 10 | Reward -> 821.6738738654026 | Max reward : 1025.54356711171 | Time : 4.179941415786743'
 Episode : 12 | Reward -> 633.4951029658293 | Max reward : 641.3643614479865 | Time : 2.4924516677856445'
 Episode : 14 | Reward -> 611.9046613703877 | Max reward : 624.3741558774088 | Time : 2.6166977882385254'
 Episode : 16 | Reward -> 255.6373354072039 | Max reward : 272.88723719860394 | Time : 2.4748878479003906'
 Episode : 18 | Reward -> 582.8420790239564 | Max reward : 693.8938469168786 | Time : 2.493541717529297'
 Episode : 20 | Reward -> 462.9752726118581 | Max reward : 659.6588584027497 | Time : 4.686758756637573'
 Episode : 22 | Reward -> 468.82196303662363 | Max reward : 673.4043207583956 | Time : 4.380437612533569'
 Episode : 24 | Reward -> 653.1387084205528 | Max reward : 672.8083372641422 | Time : 4.404659032821655'
 Episode : 26 | Reward -> 449.55084886506006 | Max reward : 625.3987383369374 | Time : 4.786252737045288'
 Episode : 28 | Reward -> 488.76795653955406 | Max reward : 681.9668796038809 | Time : 2.452625036239624'
